basin,event_id,t0,t1,NSE_SF_LocalESN,NSE_SF_LocalLSTM,NSE_SF_RegionalLSTM
Lasarte,1,2015-11-24 21:00:00,2015-11-26 19:00:00,0.7723857145880481,0.9596355493792101,0.9682465719517203
Lasarte,2,2016-02-12 12:00:00,2016-02-16 08:00:00,0.6986515657683545,0.2869918085403109,0.5631474028977026
Lasarte,3,2016-02-26 22:00:00,2016-03-01 03:00:00,0.7448286089687461,0.9451843117194646,0.9769365883008327
Lasarte,4,2016-03-05 02:00:00,2016-03-07 14:00:00,0.7001062396178457,0.9495307870944799,0.9747588272381871
Lasarte,5,2016-03-09 09:00:00,2016-03-12 08:00:00,0.8337918269131795,0.8801104047308723,0.9293889061864209
Lasarte,6,2016-03-31 03:00:00,2016-04-01 07:00:00,0.7784461260396697,0.9787790774273842,0.9768760442835237
Lasarte,7,2016-11-23 01:00:00,2016-11-24 21:00:00,0.8170096481739083,0.5431192812099741,0.9174823858032974
Lasarte,8,2017-01-10 09:00:00,2017-01-12 15:00:00,0.5393253599797176,0.9161789870934147,0.8935298609894583
Lasarte,9,2017-01-14 16:00:00,2017-01-18 11:00:00,0.9127148437304943,0.9768000121234911,0.9813758143740664
Lasarte,10,2017-03-12 17:00:00,2017-03-14 14:00:00,0.6768388440760589,0.9789606963125568,0.9804913086813198
Lasarte,11,2017-11-30 17:00:00,2017-12-02 06:00:00,0.6339204279827085,0.928948313393669,0.9811384781028394
Lasarte,12,2017-12-15 21:00:00,2017-12-17 11:00:00,0.19865787237062227,0.8454940758689284,0.9439965254270725
Lasarte,13,2017-12-28 11:00:00,2017-12-29 18:00:00,-1.3434506552655954,0.26329226056033694,0.42532409851143504
Lasarte,14,2018-01-01 16:00:00,2018-01-02 23:00:00,0.6277981139139035,0.9374441788625495,0.971703386431451
Lasarte,15,2018-01-05 20:00:00,2018-01-08 00:00:00,0.6364943864746784,0.7401246227932712,0.8056960302638144
Lasarte,16,2018-01-11 10:00:00,2018-01-12 12:00:00,0.2609252336730733,-1.7345431611563131,0.22185213530294856
Lasarte,17,2018-01-26 11:00:00,2018-01-28 07:00:00,0.30815807724427613,0.8721051109833806,0.9725042722441372
Lasarte,18,2018-02-03 07:00:00,2018-02-05 02:00:00,-0.1919503733257828,0.07358122048117943,0.3729294170534778
Lasarte,19,2018-02-11 02:00:00,2018-02-13 08:00:00,-1.040097027508148,-0.6098829506593288,0.5653835737076676
Lasarte,20,2018-02-18 22:00:00,2018-02-22 14:00:00,0.723363912038602,0.9748503351998002,0.9783586509787697
Lasarte,21,2018-04-10 14:00:00,2018-04-13 21:00:00,0.6047289203565,0.9711575485408743,0.9848060101204117
Lasarte,22,2018-12-14 03:00:00,2018-12-15 09:00:00,0.6616206273226743,0.7020646710242866,0.8598857868088137
Lasarte,23,2019-01-22 18:00:00,2019-01-27 01:00:00,0.8693625031380332,0.9112163495431392,0.9413959220737174
Lasarte,24,2019-01-27 22:00:00,2019-02-03 15:00:00,0.6115552270921443,0.8807708081242809,0.9420476041335994
Lasarte,25,2019-05-18 20:00:00,2019-05-20 08:00:00,0.6938513488209694,0.91822811836551,0.9806399939124566
Lasarte,26,2019-11-08 07:00:00,2019-11-11 17:00:00,0.41624255136557253,0.8323991026256995,0.629670474916012
Lasarte,27,2019-11-23 03:00:00,2019-11-25 00:00:00,0.5921455621754164,0.8910731518532372,0.8282265779547567
Lasarte,28,2019-12-12 10:00:00,2019-12-14 17:00:00,0.395837502831796,0.9396497564878386,0.9274093179328581
Lasarte,29,2020-03-15 19:00:00,2020-03-17 17:00:00,0.42779869842847673,0.7787813509166164,0.7896647119175424
Lasarte,30,2020-10-03 02:00:00,2020-10-04 04:00:00,0.2855233722615318,0.8621208713096998,0.6191452090113351
Lasarte,31,2020-10-14 01:00:00,2020-10-15 11:00:00,0.2997800509416424,0.9393798204750734,0.8734395224825434
Lasarte,32,2020-12-07 21:00:00,2020-12-09 22:00:00,-0.4485368907071583,0.10976381020653692,0.45565497276504463
Lasarte,33,2020-12-10 01:00:00,2020-12-13 16:00:00,0.013697388136648558,0.6230425944206955,0.5160514748490188
Lasarte,34,2020-12-30 00:00:00,2020-12-31 02:00:00,-0.9613535478643696,0.10503714165702338,0.5009450544270764
Lasarte,35,2021-02-21 23:00:00,2021-02-23 04:00:00,0.17122444239186585,0.7382935419428447,0.7987983411318448
