basin,trial,reservoir_size,washout,spectral_radius,leaking_rate,ridge_alpha,input_scaling,rc_connectivity,ema_alpha,add_bias,clamp_nonneg,nse_val,kge_val,score,loss,elapsed_sec
Lasarte,0,726,122,0.6146417633468403,0.0035814785310757033,1.5968432820664875e-05,1.0617166128767141,0.31188047109771244,0.3242141305555849,True,True,0.752329136906978,0.7659407889797873,0.7591349629433827,-0.7591349629433827,22.19703197479248
Lasarte,1,829,185,0.5603242497376302,0.0021110314654966818,1.950292103958224e-05,0.9757651152793139,0.27518640748647066,0.19339112659631658,True,True,0.6582937931649347,0.6851547502854641,0.6717242717251994,-0.6717242717251994,24.99919581413269
Lasarte,2,713,74,0.7576134062658053,0.05262051774601928,1.931571934065723e-08,1.227707127389715,0.25333946094420345,0.3761138488309538,True,True,0.8374320023731785,0.8186678639939431,0.8280499331835608,-0.8280499331835608,18.4751980304718
Lasarte,3,1082,250,0.4324127873167944,0.044743532084040194,0.00012062086332152361,1.0124411975754999,0.27898378987943373,0.2549915711548465,True,True,0.8246282665414832,0.8451537371459403,0.8348910018437118,-0.8348910018437118,41.310845136642456
Lasarte,4,912,231,0.552031955402713,0.05613599842489061,1.3573168153732978e-08,0.9146200781164171,0.31613135420940475,0.2424472881839259,True,True,0.8125947791436754,0.8207719629690627,0.816683371056369,-0.816683371056369,33.815634965896606
Lasarte,5,1294,227,0.36166391875320214,0.004814281755595467,2.9730137684678936e-08,1.082928895909803,0.06739964297233596,0.3493252326606419,True,True,0.8165249350390016,0.8790857940473389,0.8478053645431702,-0.8478053645431702,20.838207244873047
Lasarte,6,1340,150,0.82346584580539,0.06837416367455744,1.7224711358724317e-08,1.4233994161954737,0.38214280201035133,0.24704850155005612,True,True,0.8209100979862958,0.8403430284942562,0.8306265632402761,-0.8306265632402761,86.90482878684998
Lasarte,7,709,182,0.6608434313636531,0.030509601349805685,0.0006054622531919779,1.2078361197044685,0.3388453360762725,0.11775631416399733,True,True,0.8174967896984945,0.8646611963844977,0.8410789930414961,-0.8410789930414961,22.48988389968872
Lasarte,8,1726,151,0.810569152269815,0.001890143971131138,2.1745710921555622e-05,1.2502893643875153,0.23412247189097568,0.3554091858767965,True,True,-0.8028751572222748,0.01581423131463644,-0.39353046295381916,0.39353046295381916,94.09802198410034
Lasarte,9,1298,209,0.4911315240863228,0.04745097815951405,0.00016515749179345373,0.7284605881360435,0.3199319736020074,0.3880654493151515,True,True,0.8198771259462027,0.8486864600829569,0.8342817930145798,-0.8342817930145798,68.44281339645386
