basin,trial,reservoir_size,washout,spectral_radius,leaking_rate,ridge_alpha,input_scaling,rc_connectivity,ema_alpha,add_bias,clamp_nonneg,nse_val,kge_val,score,loss,elapsed_sec
Herrerias,0,943,161,0.4884893859229296,0.010436909049161,2.733387941299015e-05,1.122175466066506,0.11466548633184222,0.32415504926846983,True,True,0.5024078080490855,0.6435522601545572,0.5729800341018214,-0.5729800341018214,18.000704050064087
Herrerias,1,722,110,0.3202089336106891,0.06475191781887006,1.474853976325649e-07,1.49927691821899,0.3933221512036586,0.40842078604656196,True,True,0.49146157185141104,0.6559974989632518,0.5737295354073314,-0.5737295354073314,25.966903924942017
Herrerias,2,1117,217,0.8359721268960901,0.037527841867828926,7.975808905134484e-06,1.3858620156246697,0.15813638769287003,0.21730623801490698,True,True,0.5413068336719427,0.6749052814355678,0.6081060575537552,-0.6081060575537552,27.969619035720825
Herrerias,3,1788,135,0.31136814577777183,0.061697329109532476,5.207095628838805e-08,1.1153111363539092,0.06037252960653783,0.35963078828254036,True,True,0.521530085321694,0.6728061604630571,0.5971681228923755,-0.5971681228923755,32.78166484832764
Herrerias,4,1474,102,0.4879543154039753,0.019615566622670607,4.015806642078744e-06,0.7507997253562747,0.11690873543847537,0.250525409255858,True,True,0.4723855816233463,0.6589190060678116,0.565652293845579,-0.565652293845579,38.12056040763855
Herrerias,5,1291,130,0.8153377018239936,0.002120207118363579,0.0009853474779801161,1.064554260821726,0.2799546255985472,0.13670353030512433,True,True,0.2943124088089868,0.36399512987597726,0.329153769342482,-0.329153769342482,58.26035189628601
Herrerias,6,740,240,0.9922561227204175,0.00640410779607751,7.301208749442707e-08,1.44505633206552,0.36659915455266706,0.38596242389152824,True,True,-33.14561014408191,-6.043628394448079,-19.594619269264992,19.594619269264992,25.606836318969727
Herrerias,7,1124,190,0.8243386379627046,0.002531090849898119,7.215784631650266e-08,1.3801421408269734,0.1158331398896539,0.253038188332719,True,True,-70.28197806878616,-12.976976227280192,-41.629477148033175,41.629477148033175,22.808969736099243
Herrerias,8,961,77,0.37733578793839817,0.0013330965347456336,3.136977460360083e-07,1.4673608535939753,0.35268859022697313,0.40008582009964233,True,True,0.09421651659770491,0.334302178399037,0.21425934749837094,-0.21425934749837094,40.31621861457825
Herrerias,9,1777,76,0.8157867918239038,0.011224703663730674,1.5295995282170032e-06,1.3623960759282505,0.06691386804481397,0.41408036500971246,True,True,0.12562985197631915,0.2585000692252334,0.19206496060077627,-0.19206496060077627,34.214805364608765
Herrerias,10,754,88,0.42916175863504513,0.0020857546982851194,2.957593724528626e-07,0.8551834161976085,0.28146524436807496,0.3767377791069175,True,True,0.303419203121856,0.28301426696334053,0.29321673504259826,-0.29321673504259826,21.75703525543213
Herrerias,11,1437,121,0.793436975865898,0.0046949209240869745,0.0002738933337242834,1.3561691218772793,0.25715262679572415,0.23777633565632914,True,True,0.40385268450041567,0.44881474692867973,0.4263337157145477,-0.4263337157145477,69.15372323989868
